Name,Aliases,Root,Chord,Frets,Fingering,Also Derive From,When Derivative Source:,Order,Frets,Fingering,Comments
D Minor 13,Dm13,D,m13,,,A E,,,,,
D Minor 7 flat 9,Dm7(b9),D,m7(b9),,,E F#,,,,,
D Minor flat 13,Dm(b13),D,m(b13),,,A E,,,,,
D Minor sharp 11,Dm(#11),D,m(#11),,,A E,,,,,
D Minor Major 7th,Dm(maj7),D,m(maj7),x x 0 2 2 1,x x 0 2 3 1,A E C F,,,,,
D Dominant 9,D9,D,9,,,Bb E Eb F,,,,,
D Dominant 7/9,D7/9,D,7/9,,,Bb E Eb F,,,,,
D Dominant 7sus2,D7sus2,D,7sus2,x x 0 2 1 0,x x 0 2 1 0,A,,,,,
D Dominant 7sus4,D7sus4,D,7sus4,x x 0 2 1 3,x x 0 2 1 4,A E B,,,,x x 1 3 2 4,
D Dominant 11th,D11,D,11,,,B A,,,,,
D Dominant 7/13,D13,D,13,,,A E Bb,,,,,
D Dominant 7/9b,D7b9,D,7b9,,,Bb E Eb,,,,,
D Dominant 7/11#,D(#11),D,#11,,,E A,,,,,
D Dominant 7/13b,D(b13),D,b13,x 5 7 5 7 6,,E,,,,,
D Dominant 7/b5,D7b5,D,7b5,x x 0 1 1 2,x x 0 1 2 3,A E F,,,,,
D Augmented 7,Daug7,D,aug7,x x 0 3 1 2,x x 0 3 1 2,A E,,,,,
D add6 add9,D6/9,D,6/9,,,Bb Eb F G,,,,,
D Minor add6 add9,Dm6/9,D,m6/9,,,B E,,,,,
D Major 7 13/9,Dmaj13/9,D,maj13/9,,,A E F,,,,,
D Dominant 7 13/9,D13/9,D,13/9,,,A E G Bb,,,,,
D Dominant 7 13/b9,D13/b9,D,13/b9,,,E G,,,,,
D Dominant 7#9,D7#9,D,7#9,,,Bb Eb,,,,,
,,,,,,,,,,,
Eb Major,Eb,Eb,M,,,A C E D,,,,,
,,,,x 6 5 0 4 6,x 3 2 0 1 4,,,,,,
,,E,,0 x x 3 4 3,0 x x 1 3 2,Ab C# E,,,,,
,,F,,1 1 1 0 x x,1 2 3 0 x x,G E C D,,,,,
,,Gb,,2 1 1 0 x x,3 1 2 0 x x,G,,,,,
,,G,,3 1 1 0 x x,4 1 2 0 x x,G C F,,,,,
,,Ab,,,,C G A E,,,,,
,,A,,x 0 x 3 4 3,x 0 x 1 3 2,A E,,,,,
,,Bb,,,,A E G,,,,,
,,B,,,,Ab E,,,,,
,,C,,,,C,,,,,
,,Db,,,,G E C,,,,,
,,D,,x x 0 3 4 3,x x 0 1 3 2,G E F Bb C,,,,,
Eb Minor,Ebm,Eb,m,,,A E D G,,,,,
,,E,,0 x 4 3 4 2,0 x 3 2 4 1,Ab C# E,,,,,
,,F,,,,Ab C# E D,,,,,
,,Gb,,,,C# Ab E F#,,,,,
,,G,,,,F C#,,,,,
,,Ab,,,,C# E A,,,,,
,,A,,x 0 4 3 4 2,x 0 3 2 4 1,E A C,,,,,
,,Bb,,,,A E D,,,,,
,,B,,,,C# Ab F E,,,,,
,,C,,,,C# C Ab F,,,,,
,,Db,,,,C# Ab E F# C,,,,,
,,D,,x x 0 3 4 2,x x 0 2 3 1,C F E,,,,,
Eb Diminished,Ebdim,Eb,dim,,,D Bb A F,,,,,
Eb Augmented,Ebaug,Eb,aug,,,B A E G ,,,,,
Eb Maj7,Ebmaj7,Eb,maj7,,,A E C G D,,,,,
,,E,,0 1 1 3 3 3,0 1 1 3 3 3,Ab E,,,,,
,,F,,,,D G E Ab,,,,,
,,Gb,,,,G,,,,,
,,G,,,,C B G F,,,,,
,,Ab,,,,E,,,,,
,,A,,x 0 1 3 3 3,x 0 1 3 3 3,E,,,,,
,,Bb,,,,D C A G E,,,,,
,,B,,,,D,,,,,
,,C,,,,G Ab,,,,,
,,Db,,,,C G,,,,,
,,D,,,,E F G,,,,,
Eb Dominant 7th,Eb7,Eb,7,,,A B D E G,,,,,
,,E,,0 1 1 3 2 3,0 1 1 3 2 4,Ab E,,,,,
,,F,,,,D G E,,,,,
,,Gb,,,,G E,,,,,
